longitude,latitude,examined,positive,prev,alt,temp,prec,hum,dist_aqua
32.7805,-25.4328,1499,436,0.290860574,32,30.17593002,67.69999695,73.95833588,2.431999922
32.7867,-25.3553,7,0,0,31,30.26846123,67.69999695,73.95833588,6.059000015
32.7995,-25.157,7,1,0.142857143,27,30.70345116,67.40833282,73.59166718,2.496000051
32.8151,-25.3868,14,0,0,24,30.22919846,67.69999695,73.95833588,1.906999946
32.818,-26.6345,7,0,0,28,28.37015915,68.89167023,74.1166687,1.175999999
32.8182,-16.4247,43,18,0.418604651,280,33.37134171,61.05833435,63.79166794,0.963999987
32.8392,-25.5391,6,0,0,12,29.88587379,68.3833313,74.23332977,2.874000072
32.8549,-25.2688,9,2,0.222222222,32,30.38752556,71.95833588,74.44999695,0.838999987
32.8698,-19.5426,6,0,0,1131,22.85293388,81.27500153,73.8666687,29.68600082
32.8702,-18.9395,3,0,0,721,28.42020226,112.3249969,73.19999695,1.873999953
32.8814,-20.7632,4,1,0.25,331,30.46662712,58.71666718,74.20833588,8.418999672
32.9036,-24.4903,14,8,0.571428571,38,31.37741089,52.65000153,73.625,2.561000109
32.9167,-16.9625,46,17,0.369565217,633,30.07609177,77.1333313,66.15833282,7.059999943
32.9338,-18.9575,1,0,0,727,28.73532104,112.3249969,73.19999695,2.746999979
32.9346,-18.9929,6,2,0.333333333,731,28.38512039,112.3249969,73.19999695,1.976999998
32.9569,-24.4729,19,11,0.578947368,33,31.46785927,52.65000153,73.625,1.48300004
32.964,-25.1846,8,2,0.25,11,30.0752697,71.95833588,74.44999695,1.273000002
32.9696,-25.4694,184,116,0.630434783,17,29.62661362,71.89167023,74.65000153,0.870999992
33.0057,-24.5353,38,22,0.578947368,31,31.28661537,58.09999847,74.30833435,2.555000067
33.0104,-17.9877,64,22,0.34375,1328,24.40593529,141.4333344,71.09166718,7.597000122
33.0153,-17.8214,77,27,0.350649351,850,27.64332199,128.9916687,70.1333313,15.46199989
33.0497,-24.4817,10,0,0,33,31.4358654,52.83333206,74.15833282,1.427000046
33.0533,-25.0568,7,0,0,63,30.05662537,77.3666687,74.81666565,6.309000015
33.0843,-20.2143,2,2,1,386,29.83857727,68.30000305,74.25,12.91300011
33.0989,-25.027,11,0,0,62,29.89049339,77.3666687,74.81666565,8.944999695
33.0989,-16.6472,44,13,0.295454545,231,33.37174606,63.39166641,63.59999847,1.151000023
33.106,-15.8428,40,10,0.25,333,34.17758179,59.06666565,62.36666489,7.540999889
33.1691,-18.0617,6,3,0.5,616,29.90844154,141.9750061,70.67500305,5.068999767
33.1785,-18.0515,5,2,0.4,595,29.90844154,141.9750061,70.67500305,4.395999908
33.2089,-17.9253,121,50,0.41322314,597,29.92106819,131.9250031,70.14167023,11.57800007
33.2146,-21.3274,2,0,0,148,31.3983593,53.88333511,74.69999695,16.04000092
33.237,-24.6359,10,6,0.6,24,30.80496597,60.28333282,74.83333588,0.370999992
33.2796,-16.8373,58,31,0.534482759,247,33.09848404,74.65000153,65.2416687,0.717000008
33.3178,-24.8635,10,1,0.1,86,29.79745674,75.80833435,75.14167023,9.572999954
33.3179,-19.4624,4,2,0.5,553,29.37678146,78.7416687,73.21666718,3.266000032
33.3218,-24.659,32,21,0.65625,26,30.92671394,60.28333282,74.83333588,0.407999992
33.3269,-24.6184,68,36,0.529411765,18,31.11491013,60.28333282,74.83333588,4.304999828
33.3333,-15.5853,12,4,0.333333333,536,33.5494194,66.81666565,63.20833206,26.86700058
33.3374,-24.9256,11,0,0,74,29.71699333,76.80833435,75.69166565,11.71800041
33.3505,-16.8248,5,1,0.2,284,32.94506454,68.84999847,64.29166412,6.514999866
33.3639,-19.2734,1,1,1,657,28.8941288,84.80000305,72.80000305,7.467000008
33.4106,-15.0436,14,7,0.5,671,32.17323303,78.57499695,65.18333435,36.94499969
33.4528,-19.1158,10,2,0.2,700,28.95449448,92.2583313,72.44999695,5.019000053
33.4602,-19.126,4,1,0.25,704,28.54850006,92.2583313,72.44999695,5.198999882
33.4622,-19.0869,5,2,0.4,680,28.77181053,92.2583313,72.44999695,5.922999859
33.4683,-19.0949,7,0,0,660,28.77181053,92.2583313,72.44999695,5.959000111
33.4744,-24.7869,24,11,0.458333333,15,30.66157722,68.42500305,75.52500153,0.093000002
33.4784,-19.144,4,0,0,722,28.54850006,92.2583313,72.44999695,2.89199996
33.483,-19.0966,5,0,0,664,28.77181053,92.2583313,72.44999695,4.84499979
33.4833,-19.25,55,21,0.381818182,698,28.51621819,84.80000305,72.80000305,3.38499999
33.4873,-19.1232,5,0,0,697,28.77181053,92.2583313,72.44999695,2.944999933
33.4876,-25.2132,15,4,0.266666667,8,29.46730042,83.2583313,76.04166412,0.694999993
33.5008,-19.1074,4,2,0.5,684,28.7094574,94.65000153,72.625,3.780999899
33.5119,-19.49,47,15,0.319148936,430,29.60609055,80.33333588,73.42500305,3.509000063
33.5333,-24.6856,11,3,0.272727273,98,30.73727036,68.3833313,75.90833282,1.850999951
33.5349,-24.6857,91,50,0.549450549,101,30.73727036,68.3833313,75.90833282,1.998999953
33.5451,-24.6834,7,1,0.142857143,112,30.19208527,68.3833313,75.90833282,2.805000067
33.5479,-15.8261,58,21,0.362068966,437,32.95108032,64.95833588,62.81666565,10.98400021
33.5833,-24.65,59,38,0.644067797,107,30.34340477,61.79166794,75.6333313,2.617000103
33.5913,-16.1614,5,2,0.4,145,33.93464279,55.27500153,60.93333435,0.451999992
33.6026,-16.1386,10,1,0.1,148,33.93464279,55.27500153,60.93333435,1.131999969
33.6056,-16.151,9,1,0.111111111,135,33.93464279,55.27500153,60.93333435,0.651000023
33.6192,-16.1573,13,0,0,148,33.93464279,55.27500153,60.93333435,0.497000009
33.6294,-16.1334,17,3,0.176470588,145,34.11063766,55.27500153,60.93333435,1.33099997
33.6318,-16.1395,9,0,0,145,34.11063766,55.27500153,60.93333435,0.985000014
33.6377,-16.1765,40,14,0.35,149,33.84426117,56.55833435,61.32500076,0.853999972
33.6392,-25.0442,12,1,0.083333333,4,29.73402596,83.55000305,76.41666412,0.527999997
33.6398,-19.1494,50,15,0.3,540,29.20586967,94.65000153,72.625,5.809000015
33.646,-19.0767,84,18,0.214285714,610,28.99560165,94.65000153,72.625,3.01699996
33.6483,-16.1362,8,0,0,130,34.11063766,55.27500153,60.93333435,0.579999983
33.6513,-20.2928,14,10,0.714285714,120,31.31620789,71.40833282,74.93333435,5.409999847
33.6649,-25.0628,5,1,0.2,41,29.73402596,83.55000305,76.41666412,1.802000046
33.6674,-25.0513,11,2,0.181818182,33,29.66091156,82.21666718,76.67500305,1.463000059
33.6824,-19.4528,1,1,1,145,31.41702843,79.15833282,73.76667023,14.54899979
33.6899,-25.0619,4,0,0,43,29.66091156,82.21666718,76.67500305,3.803999901
33.7041,-25.0417,12,2,0.166666667,23,29.66091156,82.21666718,76.67500305,4.037000179
33.7198,-16.1131,10,4,0.4,176,33.75858307,58.04166794,61.73333359,2.670000076
33.7322,-16.1228,75,25,0.333333333,184,33.75858307,58.04166794,61.73333359,4.311999798
33.75,-19.1833,87,18,0.206896552,326,30.58758354,84.42500305,73.34166718,15.98400021
33.7731,-24.8714,13,3,0.230769231,66,29.81714439,75.83333588,76.43333435,6.906000137
33.7873,-24.6797,79,47,0.594936709,83,30.39016342,66.27500153,76.16666412,7.537000179
33.8465,-25.0147,8,3,0.375,50,29.65262222,80.60832977,76.82499695,4.083000183
33.8562,-24.7192,3,2,0.666666667,72,30.17840958,67.18333435,76.42500305,2.016000032
33.874,-24.7104,5,2,0.4,71,30.17840958,67.18333435,76.42500305,1.055999994
33.8804,-20.5971,13,4,0.307692308,131,30.79092979,74.09166718,75.78333282,27.36400032
33.8909,-19.1996,49,21,0.428571429,249,31.46217155,82.43333435,73.73332977,27.73200035
33.8966,-24.766,9,5,0.555555556,76,30.04985237,67.18333435,76.42500305,3.483999968
33.8978,-19.0159,68,26,0.382352941,437,29.92617035,90.05833435,73.34999847,15.18900013
33.8978,-14.5844,15,4,0.266666667,1181,26.40446091,80.95833588,68.78333282,46.29800034
33.9196,-19.2143,6,5,0.833333333,241,31.8459549,82.43333435,73.73332977,29.94400024
33.9245,-24.6391,4,0,0,68,30.51416016,61.96666718,76.2416687,5.743000031
33.9461,-16.5422,39,17,0.435897436,117,33.34231949,62.74166489,64.125,0.56400001
33.9549,-14.5418,11,8,0.727272727,1174,26.71129799,80.95833588,68.78333282,39.97999954
33.9568,-18.4282,9,7,0.777777778,476,29.80032539,116.875,72.09999847,37.78499985
33.985,-14.6903,63,23,0.365079365,1062,27.0784874,81.52500153,68.18333435,40.33300018
34.0302,-18.5517,20,17,0.85,439,30.02272415,110.9583359,72.80833435,29.81299973
34.0575,-16.8724,5,1,0.2,196,33.00951385,71.34166718,66.58333588,22.65800095
34.0697,-18.6799,10,2,0.2,351,30.51523781,101.0500031,73.04166412,22.06100082
34.0702,-14.777,10,7,0.7,1124,26.86018944,78.78333282,68.21666718,27.80200005
34.0748,-24.6569,11,6,0.545454545,74,30.3835392,64.71666718,76.4916687,3.009000063
34.1487,-24.8223,3,1,0.333333333,76,29.70327377,69.67500305,76.67500305,2.138000011
34.1614,-14.6222,11,9,0.818181818,1146,26.58549118,80.22499847,69.23332977,43.32400131
34.2037,-19.2459,3,1,0.333333333,68,32.6934967,81.01667023,74.51667023,13.61600018
34.2106,-19.2694,9,4,0.444444444,59,32.93640137,81.01667023,74.51667023,10.94299984
34.2108,-22.0156,10,1,0.1,190,29.84044647,53.35833359,76.3666687,12.48200035
34.211,-19.2953,120,47,0.391666667,62,32.82040405,81.01667023,74.51667023,8.517000198
34.2206,-18.502,7,5,0.714285714,267,31.26737595,98.7416687,73.01667023,29.45899963
34.2217,-22.5568,4,3,0.75,128,31.24566269,52.13333511,76.15833282,24.83200073
34.2417,-15.8042,21,2,0.095238095,380,32.10222626,75.35832977,64.95833588,14.86699963
34.2732,-21.3589,15,11,0.733333333,83,30.08169365,62.01666641,76.59166718,6.048999786
34.2747,-16.1769,43,14,0.325581395,304,32.34789658,65.26667023,64.875,28.48500061
34.2894,-19.2269,123,48,0.390243902,36,32.90595627,81.01667023,74.51667023,12.80900002
34.2904,-14.7769,4,1,0.25,1106,27.12070465,78.10832977,68.6333313,29.79100037
34.3083,-15.5208,43,17,0.395348837,782,29.42914009,81.6166687,66.32499695,10.43400002
34.3089,-24.8151,5,3,0.6,104,29.48269463,72.72499847,76.84999847,6.402999878
34.3417,-19.9552,4,2,0.5,40,31.37636375,98.73332977,76.16666412,3.450000048
34.3429,-19.6492,9,4,0.444444444,78,31.23079681,95.84166718,75.625,12.53199959
34.3506,-14.4618,8,1,0.125,1447,24.86378288,87.79166412,70.59999847,35.83399963
34.3523,-24.7244,12,1,0.083333333,68,29.93994331,76.42500305,76.96666718,4.195000172
34.3593,-14.7114,13,8,0.615384615,1272,26.31004906,79.93333435,69.39167023,35.34600067
